type,latitude,longitude,course,name,desc
T,40.387150000,-105.073600000,148.6,,
T,40.387100000,-105.073560000,148.6,,
T,40.387040000,-105.073530000,159.2,,
T,40.386970000,-105.073500000,161.9,,
T,40.386930000,-105.073480000,159.2,,
T,40.386870000,-105.073460000,165.8,,
T,40.386820000,-105.073450000,171.3,,
T,40.386770000,-105.073440000,171.3,,
T,40.386720000,-105.073440000,180.0,,
T,40.386700000,-105.073430000,159.2,,
T,40.386680000,-105.073430000,180.0,,
T,40.386670000,-105.073420000,142.7,,
T,40.386660000,-105.073410000,142.7,,
T,40.386640000,-105.073400000,159.2,,
T,40.386600000,-105.073360000,142.7,,
T,40.385970000,-105.073370000,180.7,,
T,40.385570000,-105.073370000,180.0,,
T,40.385180000,-105.073370000,180.0,,
T,40.384280000,-105.073380000,180.5,,
T,40.384020000,-105.073380000,180.0,,
T,40.383810000,-105.073380000,180.0,,
T,40.383610000,-105.073390000,182.2,,
T,40.383540000,-105.073390000,180.0,,
T,40.383060000,-105.073400000,180.9,,
T,40.382820000,-105.073400000,180.0,,
T,40.382630000,-105.073390000,177.7,,
T,40.382180000,-105.073380000,179.0,,
T,40.381850000,-105.073360000,177.4,,
T,40.381370000,-105.073330000,177.3,,
T,40.380850000,-105.073300000,177.5,,
T,40.380810000,-105.073300000,180.0,,
T,40.380630000,-105.073290000,177.6,,
T,40.380390000,-105.073280000,178.2,,
T,40.379730000,-105.073270000,179.3,,
T,40.379390000,-105.073270000,180.0,,
T,40.378880000,-105.073270000,180.0,,
T,40.378840000,-105.073270000,180.0,,
T,40.378710000,-105.073270000,180.0,,
T,40.378370000,-105.073270000,180.0,,
T,40.378230000,-105.073270000,180.0,,
T,40.377840000,-105.073270000,180.0,,
T,40.377380000,-105.073270000,180.0,,
T,40.377010000,-105.073260000,178.8,,
T,40.376850000,-105.073260000,180.0,,
T,40.376640000,-105.073240000,175.8,,
T,40.376450000,-105.073230000,177.7,,
T,40.376300000,-105.073220000,177.1,,
T,40.376110000,-105.073210000,177.7,,
T,40.375900000,-105.073190000,175.8,,
T,40.375710000,-105.073160000,173.1,,
T,40.375520000,-105.073140000,175.4,,
T,40.375290000,-105.073100000,172.5,,
T,40.375020000,-105.073060000,173.6,,
T,40.374520000,-105.072980000,173.1,,
T,40.374450000,-105.073010000,198.1,,
T,40.374430000,-105.073020000,200.9,,
T,40.374410000,-105.073030000,200.9,,
T,40.374390000,-105.073030000,180.0,,
T,40.374340000,-105.073030000,180.0,,
T,40.374290000,-105.073020000,171.3,,
T,40.373770000,-105.072930000,172.5,,
T,40.372680000,-105.072740000,172.4,,
T,40.372040000,-105.072660000,174.6,,
T,40.371710000,-105.072630000,176.0,,
T,40.371400000,-105.072610000,177.2,,
T,40.371180000,-105.072610000,180.0,,
T,40.371030000,-105.072600000,177.1,,
T,40.371010000,-105.072600000,180.0,,
T,40.370990000,-105.072600000,180.0,,
T,40.370980000,-105.072590000,142.7,,
T,40.370960000,-105.072580000,159.1,,
T,40.370930000,-105.072570000,165.8,,
T,40.370850000,-105.072520000,154.5,,
T,40.370710000,-105.072520000,180.0,,
T,40.370540000,-105.072530000,182.6,,
T,40.370340000,-105.072540000,182.2,,
T,40.370110000,-105.072560000,183.8,,
T,40.369930000,-105.072580000,184.8,,
T,40.369790000,-105.072600000,186.2,,
T,40.369600000,-105.072620000,184.6,,
T,40.369430000,-105.072640000,185.1,,
T,40.369280000,-105.072670000,188.7,,
T,40.369080000,-105.072700000,186.5,,
T,40.368880000,-105.072740000,188.7,,
T,40.368810000,-105.072750000,186.2,,
T,40.367530000,-105.072970000,187.5,,
T,40.367090000,-105.073050000,187.9,,
T,40.366730000,-105.073080000,183.6,,
T,40.366300000,-105.073120000,184.1,,
T,40.364870000,-105.073230000,183.4,,
T,40.364390000,-105.073270000,183.6,,
T,40.363900000,-105.073310000,183.6,,
T,40.362960000,-105.073380000,183.2,,
T,40.360450000,-105.073580000,183.5,,
T,40.359020000,-105.073700000,183.7,,
T,40.358660000,-105.073730000,183.6,,
T,40.358230000,-105.073760000,183.0,,
T,40.357990000,-105.073770000,181.8,,
T,40.357780000,-105.073790000,184.2,,
T,40.357490000,-105.073810000,183.0,,
T,40.357170000,-105.073850000,185.4,,
T,40.357150000,-105.073850000,180.0,,
T,40.356860000,-105.073870000,183.0,,
T,40.356650000,-105.073890000,184.2,,
T,40.356330000,-105.073910000,182.7,,
T,40.355350000,-105.073970000,182.7,,
T,40.354850000,-105.073990000,181.7,,
T,40.354300000,-105.074020000,182.4,,
T,40.353610000,-105.074040000,181.3,,
T,40.352740000,-105.074040000,180.0,,
T,40.352150000,-105.074050000,180.7,,
T,40.351090000,-105.074040000,179.6,,
T,40.350100000,-105.074040000,180.0,,
T,40.349380000,-105.074040000,180.0,,
T,40.348100000,-105.074040000,180.0,,
T,40.347680000,-105.074040000,180.0,,
T,40.347510000,-105.074040000,180.0,,
T,40.346870000,-105.074050000,180.7,,
T,40.345210000,-105.074050000,180.0,,
T,40.345140000,-105.074050000,180.0,,
T,40.344530000,-105.074050000,180.0,,
T,40.344360000,-105.074050000,180.0,,
T,40.343400000,-105.074050000,180.0,,
T,40.343080000,-105.074050000,180.0,,
T,40.342770000,-105.074050000,180.0,,
T,40.342010000,-105.074030000,178.9,,
T,40.341800000,-105.074030000,180.0,,
T,40.341340000,-105.074030000,180.0,,
T,40.340710000,-105.074040000,180.7,,
T,40.340600000,-105.074120000,209.0,,
T,40.340390000,-105.074120000,180.0,,
T,40.340160000,-105.074120000,180.0,,
T,40.339610000,-105.074130000,180.8,,
T,40.339270000,-105.074170000,185.1,,
T,40.339210000,-105.074180000,187.2,,
T,40.339140000,-105.074190000,186.2,,
T,40.339070000,-105.074200000,186.2,,
T,40.339020000,-105.074210000,188.7,,
T,40.338930000,-105.074230000,189.6,,
T,40.338850000,-105.074260000,196.0,,
T,40.338780000,-105.074280000,192.3,,
T,40.338630000,-105.074330000,194.3,,
T,40.338540000,-105.074360000,194.3,,
T,40.338400000,-105.074420000,198.1,,
T,40.338310000,-105.074470000,203.0,,
T,40.338200000,-105.074530000,202.6,,
T,40.338100000,-105.074580000,200.9,,
T,40.338000000,-105.074640000,204.6,,
T,40.337930000,-105.074690000,208.6,,
T,40.337880000,-105.074720000,204.6,,
T,40.337830000,-105.074750000,204.6,,
T,40.337510000,-105.075010000,211.8,,
T,40.337440000,-105.075080000,217.3,,
T,40.337380000,-105.075140000,217.3,,
T,40.337250000,-105.075270000,217.3,,
T,40.337130000,-105.075400000,219.5,,
T,40.337010000,-105.075540000,221.6,,
T,40.336890000,-105.075710000,227.2,,
T,40.336790000,-105.075840000,224.7,,
T,40.336680000,-105.076030000,232.8,,
T,40.336580000,-105.076180000,228.8,,
T,40.336460000,-105.076420000,236.7,,
T,40.336400000,-105.076550000,238.8,,
T,40.336350000,-105.076670000,241.3,,
T,40.336240000,-105.076930000,241.0,,
T,40.336170000,-105.077140000,246.4,,
T,40.336110000,-105.077310000,245.2,,
T,40.336030000,-105.077580000,248.8,,
T,40.335940000,-105.077980000,253.6,,
T,40.335910000,-105.078180000,258.9,,
T,40.335890000,-105.078350000,261.2,,
T,40.335870000,-105.078530000,261.7,,
T,40.335840000,-105.078840000,262.8,,
T,40.335840000,-105.079120000,270.0,,
T,40.335830000,-105.079400000,267.3,,
T,40.335830000,-105.079620000,270.0,,
T,40.335830000,-105.080040000,270.0,,
T,40.335830000,-105.080460000,270.0,,
T,40.335850000,-105.083550000,270.5,,
T,40.335900000,-105.087370000,271.0,,
T,40.335920000,-105.089230000,270.8,,
T,40.335930000,-105.090410000,270.6,,
T,40.335930000,-105.092800000,270.0,,
T,40.335930000,-105.093280000,270.0,,
T,40.335930000,-105.093380000,270.0,,
T,40.335930000,-105.093730000,270.0,,
T,40.335920000,-105.094790000,269.3,,
T,40.335910000,-105.095050000,267.1,,
T,40.335890000,-105.095270000,263.2,,
T,40.335880000,-105.095430000,265.3,,
T,40.335860000,-105.095630000,262.5,,
T,40.335830000,-105.095770000,254.3,,
T,40.335810000,-105.095940000,261.2,,
T,40.335790000,-105.096040000,255.3,,
T,40.335770000,-105.096140000,255.3,,
T,40.335740000,-105.096320000,257.7,,
T,40.335710000,-105.096420000,248.5,,
T,40.335690000,-105.096520000,255.3,,
T,40.335630000,-105.096740000,250.3,,
T,40.335520000,-105.097120000,249.2,,
T,40.335460000,-105.097280000,243.8,,
T,40.335380000,-105.097500000,244.5,,
T,40.335350000,-105.097590000,246.4,,
T,40.335300000,-105.097690000,236.7,,
T,40.335240000,-105.097820000,238.8,,
T,40.335180000,-105.097940000,236.7,,
T,40.335150000,-105.098010000,240.7,,
T,40.335110000,-105.098080000,233.1,,
T,40.335050000,-105.098210000,238.8,,
T,40.334920000,-105.098430000,232.2,,
T,40.334700000,-105.098730000,226.1,,
T,40.334610000,-105.098850000,225.5,,
T,40.334550000,-105.098950000,231.8,,
T,40.334460000,-105.099050000,220.3,,
T,40.334380000,-105.099150000,223.6,,
T,40.334300000,-105.099240000,220.6,,
T,40.334210000,-105.099350000,223.0,,
T,40.334130000,-105.099430000,217.3,,
T,40.334050000,-105.099520000,220.6,,
T,40.334010000,-105.099560000,217.3,,
T,40.333960000,-105.099610000,217.3,,
T,40.333910000,-105.099650000,211.4,,
T,40.333860000,-105.099700000,217.3,,
T,40.333740000,-105.099800000,212.4,,
T,40.333580000,-105.099930000,211.8,,
T,40.333490000,-105.100000000,210.7,,
T,40.333380000,-105.100080000,209.0,,
T,40.333310000,-105.100130000,208.6,,
T,40.333200000,-105.100190000,202.6,,
T,40.333100000,-105.100260000,208.1,,
T,40.333000000,-105.100310000,200.9,,
T,40.332870000,-105.100380000,202.3,,
T,40.332790000,-105.100420000,200.9,,
T,40.332690000,-105.100470000,200.9,,
T,40.332490000,-105.100550000,197.0,,
T,40.332370000,-105.100590000,194.3,,
T,40.332220000,-105.100640000,194.3,,
T,40.332100000,-105.100680000,194.3,,
T,40.331960000,-105.100710000,189.3,,
T,40.331830000,-105.100750000,193.2,,
T,40.331460000,-105.100830000,189.4,,
T,40.330920000,-105.100940000,188.8,,
T,40.330600000,-105.101000000,188.1,,
T,40.329520000,-105.101200000,188.0,,
T,40.329300000,-105.101240000,187.9,,
T,40.328980000,-105.101310000,189.5,,
T,40.328660000,-105.101370000,188.1,,
T,40.328330000,-105.101430000,187.9,,
T,40.328110000,-105.101470000,187.9,,
T,40.327790000,-105.101530000,188.1,,
T,40.327570000,-105.101570000,187.9,,
T,40.327350000,-105.101620000,189.8,,
T,40.326930000,-105.101700000,188.3,,
T,40.326380000,-105.101810000,188.7,,
T,40.324980000,-105.102070000,188.1,,
T,40.324760000,-105.102110000,187.9,,
T,40.324540000,-105.102150000,187.9,,
T,40.324230000,-105.102220000,189.8,,
T,40.324010000,-105.102270000,189.8,,
T,40.323790000,-105.102320000,189.8,,
T,40.323700000,-105.102340000,189.6,,
T,40.323580000,-105.102370000,190.8,,
T,40.323460000,-105.102410000,194.3,,
T,40.323350000,-105.102440000,191.7,,
T,40.323250000,-105.102470000,192.9,,
T,40.323040000,-105.102530000,192.3,,
T,40.322930000,-105.102560000,191.7,,
T,40.322750000,-105.102620000,194.3,,
T,40.322610000,-105.102670000,195.2,,
T,40.322510000,-105.102710000,197.0,,
T,40.322410000,-105.102740000,192.9,,
T,40.322300000,-105.102780000,195.5,,
T,40.322090000,-105.102860000,196.2,,
T,40.321800000,-105.102980000,197.5,,
T,40.321570000,-105.103070000,196.6,,
T,40.321370000,-105.103160000,198.9,,
T,40.321040000,-105.103290000,196.7,,
T,40.320210000,-105.103640000,197.8,,
T,40.319840000,-105.103780000,196.1,,
T,40.319380000,-105.103970000,197.5,,
T,40.318950000,-105.104150000,197.7,,
T,40.318700000,-105.104250000,197.0,,
T,40.318440000,-105.104360000,197.9,,
T,40.318120000,-105.104490000,197.2,,
T,40.317920000,-105.104570000,197.0,,
T,40.317710000,-105.104650000,196.2,,
T,40.317110000,-105.104860000,194.9,,
T,40.316860000,-105.104940000,193.7,,
T,40.316440000,-105.105070000,193.3,,
